Country,Year,PSS,GES,GDPpc,Educ,U,POP,GCF
CHE,2003,15.949,5.38400983810425,38737.12724437574,26.875856,4.12,7.339002,25.984418186172775
CHE,2004,15.84,5.31429004669189,40175.644574710685,28.088779,4.32,7.389626,24.548464470039043
CHE,2005,15.679,5.08472013473511,41524.84887329322,28.763943,4.44,7.437116,27.18921899555344
CHE,2006,14.941,4.84120988845825,46272.857953337516,29.851349,3.99,7.483935,27.918934063812635
CHE,2007,14.368,4.58395004272461,50924.372952987585,31.327906,3.64,7.551117,26.788814598459876
CHE,2008,14.049,4.75725984573364,53808.78411270659,33.652287,3.35,7.647676,27.412026215119866
CHE,2009,15.557,4.92561006546021,52973.46323620945,35.020153,4.11,7.743832,28.341989494365667
CHE,2010,15.204,4.80210018157959,54438.97870094377,33.881504,4.81,7.82491,25.895559196580642
CHE,2011,15.162,4.85663986206055,57493.58105592107,34.000179,4.41,7.912396,28.49241873482545
CHE,2012,15.378,4.89862012863159,59440.91586076658,35.291126,4.49,7.996861,26.660229003760016
CHE,2013,15.67,4.91392993927002,61656.46617085157,37.407192,4.75,8.089346,25.154933955202686
CHE,2014,15.579,4.93057012557983,63417.04371575651,38.428497,4.83,8.188646,25.553196042031136
CHE,2015,16.08,4.99559020996094,65265.04573355997,39.782719,4.8,8.282398,25.074863281770266
CHE,2016,16.237,4.98163986206055,67350.7518747757,41.235474,4.92,8.373334,25.561928395453997
CHE,2017,16.435,5.01765012741089,68193.50549440944,42.594601,4.8,8.451834,26.044314341962554
CHE,2018,15.969,4.93008995056152,70688.81874911941,43.744415,4.71,8.514327,25.73445323203119
CHE,2019,16.145,5.01438999176025,72668.74710733896,44.412537,4.39,8.57528,26.437792904374508
CHE,2020,19.315,5.29163980484009,71010.43349472033,45.277538,4.82,8.638169,29.57874983883429
CHE,2021,18.03,5.04434299468994,77181.37534816514,45.002983,5.1,8.704542,26.10462737926772
USA,2002,15.536,6.35995531082153,37997.75965730513,38.133007,5.78,287.625193,21.72265040882268
USA,2003,15.801,6.3286075592041,39490.27495570071,38.42197,5.99,290.107933,21.745643115762174
USA,2004,15.663,6.2537636756897,41724.6316287624,39.052998,5.53,292.805298,22.652150581142017
USA,2005,15.492,6.17098331451416,44123.407067905515,39.054729,5.08,295.516599,23.37571468067073
USA,2006,15.541,6.16402912139893,46302.000880005624,39.486282,4.62,298.379912,23.5375233223135
USA,2007,15.673,6.24331855773926,48050.223777113504,40.270866,4.62,301.231207,22.557577834240814
USA,2008,16.245,6.43608617782593,48570.045980458555,41.10516,5.78,304.093966,21.037494190691405
USA,2009,18.309,6.73869848251343,47194.94335473355,41.214626,9.25,306.771529,17.768755781434734
USA,2010,19.033,6.6945538520813,48650.643128333555,41.662415,9.63,309.327143,18.67222166984608
USA,2011,18.726,6.49768352508545,50065.966504174205,42.44838,8.95,311.583481,19.03354325529741
USA,2012,18.46,6.25388622283936,51784.41857388373,43.052437,8.07,313.877662,19.950723147014997
USA,2013,18.428,6.22925806045532,53291.127689140565,43.910252,7.37,316.059947,20.343033582080807
USA,2014,18.439,6.12920570373535,55123.84978690464,44.224617,6.17,318.386329,20.778368495383877
USA,2015,18.537,4.94678020477295,56762.72945159889,44.629398,5.28,320.738994,21.200475682793247
USA,2016,18.658,4.80666017532349,57866.74493410914,45.666355,4.87,323.071755,20.566778300998102
USA,2017,18.474,5.12287998199463,59907.75426088469,46.3568,4.36,325.122128,20.813430983242593
USA,2018,18.235,4.92889022827148,62823.309438197284,47.431145,3.9,326.838199,21.20591655610531
USA,2019,18.262,4.98727989196777,65120.394662865256,48.340187,3.67,328.329953,21.319232455198087
USA,2020,23.942,5.43544006347656,63528.63430275085,50.055275,8.05,331.511512,21.0509605883857
USA,2021,22.7,5.93,70219.472454115,50.316986,5.35,332.031554,21.104314811769196
